R,l,n_grid,c,gamma
24,2,4,0.145171047097997,0.09525329623495878
24,3,8,1.5446500820088467,0.2889903754787327
24,4,16,0.9185956526618497,0.24474910092082178
24,5,32,8.604469300274104,0.38448980311297104
24,6,64,5.2806191797401425,0.3299039256958522
24,7,128,18.815922738785048,0.38020260058877303
24,8,256,25.369400254894572,0.37452325027333144
24,9,512,29.56024235881341,0.36421011883228077
24,10,1024,38.99630848877132,0.36061381335212306
25,1,2,0.10348157873289088,0.02587039468322272
25,2,4,0.7440208594530215,0.21564160942594973
25,3,8,0.4818812025553001,0.19599876604393351
25,4,16,0.9786253817310353,0.24865324285978155
25,5,32,11.313482953418657,0.40612457889132536
25,6,64,12.705992820023312,0.3818927757642615
25,7,128,18.312102913054332,0.3787312864185512
25,8,256,26.1108990219509,0.3758743904552734
25,9,512,30.58181595968199,0.36558762209759876
25,10,1024,39.90814760338981,0.3614482826754419
26,1,2,0.04162617140739644,0.01040654285184911
26,2,4,0.281105574112984,0.13254847559312594
26,3,8,1.6093909238666306,0.292972725489131
26,4,16,0.8693872992666769,0.24140337163574935
26,5,32,9.542786848593039,0.3925319875801287
26,6,64,0.5184704032781156,0.2240753088256188
26,7,128,14.09067347396558,0.3648153605094819
26,8,256,19.967098571047245,0.36347904549238186
26,9,512,21.617080624288064,0.35176351405096895
26,10,1024,21.291719109227415,0.3394384858494584
27,1,2,0.030074110020140488,0.007518527505035122
27,2,4,0.0358760848212496,0.047352458239547604
27,3,8,0.1681680256822773,0.13799218259444382
27,4,16,2.080912160774389,0.30026412439438416
27,5,32,3.6085754914457766,0.3231522377910324
27,6,64,13.293556371170098,0.3847809290715148
27,7,128,14.431660497018129,0.3660636649596551
27,8,256,18.874042311599624,0.3609301185916549
27,9,512,21.395312356718932,0.35136070506747563
27,10,1024,25.16477443225449,0.34515908804910744
28,1,2,0.035136740464314586,0.008784185116078647
28,2,4,0.13992491431223542,0.09351634693739225
28,3,8,0.6282907048165214,0.2141214719478926
28,4,16,2.842853517935623,0.3246225084391294
28,5,32,7.187133269398203,0.3708951448222361
28,6,64,0.1424702009549037,0.18067331572273873
28,7,128,15.649023510055486,0.37032330472347097
28,8,256,21.839090478242724,0.36757361297804886
28,9,512,26.30093797799782,0.359512992941093
28,10,1024,37.701666572946124,0.35939833723197334
29,1,2,0.2737366264717007,0.06843415661792518
29,2,4,0.407761327206992,0.1596404803000699
29,3,8,0.23520804948474705,0.15432065885782764
29,4,16,2.4972620510727666,0.3142722523372161
29,5,32,9.23424174191615,0.38996017499792257
29,6,64,21.023539799318996,0.4153277814615394
29,7,128,20.72389550277967,0.3854848821221875
29,8,256,26.963777480654244,0.37738757760787844
29,9,512,31.000956419215072,0.36614099068246353
29,10,1024,40.489582798210904,0.361971467796977
30,1,2,0.06172046566622358,0.015430116416555895
30,2,4,0.10759071663052744,0.08200255965156188
30,3,8,2.0947695339289325,0.31987877559205147
30,4,16,0.5905952531462617,0.21916060804504656
30,5,32,2.507934155426369,0.3004714651563175
30,6,64,12.463888427512302,0.380670247195799
30,7,128,18.44712869328032,0.37912897514481453
30,8,256,24.935754344638553,0.3737169729962202
30,9,512,27.645064153097337,0.3615095231103749
30,10,1024,30.474582331837155,0.35183074252739405
31,1,2,0.02000393245747123,0.005000983114367807
31,2,4,0.22954953003797662,0.11977831868653667
31,3,8,0.24597689667175615,0.15664075990485504
